Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:54:01,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:01,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:01,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:01,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:03,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:03,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:03,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:03,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:03,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:03,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:05,30.60,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:05,30.60,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:05,30.60,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:05,30.60,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:05,30.60,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:05,30.60,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:07,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:07,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:07,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:07,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:07,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:07,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:09,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:09,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:09,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:09,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:09,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:09,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:11,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:11,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:11,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:11,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:11,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:11,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:13,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:13,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:13,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:13,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:13,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:13,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:15,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:15,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:15,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:15,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:15,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:15,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:22,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:22,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:22,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:22,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:22,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:22,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:23,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:24,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:24,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:24,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:24,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:24,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:25,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:26,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:26,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:26,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:26,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:26,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:28,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:28,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:28,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:28,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:28,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:28,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:30,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:30,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:30,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:30,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:30,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:30,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:32,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:32,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:32,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:32,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:32,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:32,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:36,30.50,96.7,11.73,not detected,not detected,flame detected,0.0,0.0,
09:54:36,30.50,96.7,11.73,not detected,not detected,flame detected,0.0,0.0,
09:54:36,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:36,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:36,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:36,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:38,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:38,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:38,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:38,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:38,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:38,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:42,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:42,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:42,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:42,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:42,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
